t,sector,dataType,value
2,8,consumptionVolume,NA
2,8,laborUsed,NA
2,8,maxPrice,NA
2,8,minPrice,NA
2,8,price,108.41335
2,8,productionValue,205982.3
2,8,productionVolume,1899.9716
2,8,productDestruction,NA
2,8,sectorSize,52.0
2,8,speed,0.049500003
2,8,unsoldVolume,NA
2,8,unsoldVolumePositif,NA
2,9,consumptionBudget,4351205.0
2,9,consumptionValue,NA
2,9,consumptionVolume,NA
2,9,laborUsed,NA
2,9,maxPrice,NA
2,9,minPrice,NA
2,9,price,108.41335
2,9,productionValue,0.0
2,9,productionVolume,0.0
2,9,productDestruction,NA
2,9,sectorSize,0.0
2,9,speed,0.049500003
2,9,unsoldVolume,NA
2,9,unsoldVolumePositif,NA
2,10,consumptionBudget,824691.25
2,10,consumptionValue,NA
2,10,consumptionVolume,NA
2,10,laborUsed,NA
2,10,maxPrice,NA
2,10,minPrice,NA
2,10,price,91.913345
2,10,productionValue,2446048.2
2,10,productionVolume,26612.557
2,10,productDestruction,NA
2,10,sectorSize,458.0
2,10,speed,-0.049500003
2,10,unsoldVolume,NA
2,10,unsoldVolumePositif,NA
2,11,consumptionBudget,2603698.5
2,11,consumptionValue,NA
2,11,consumptionVolume,NA
2,11,laborUsed,NA
2,11,maxPrice,NA
2,11,minPrice,NA
2,11,price,91.913345
2,11,productionValue,5482326.5
2,11,productionVolume,59646.69
2,11,productDestruction,NA
2,11,sectorSize,920.0
2,11,speed,-0.049500003
2,11,unsoldVolume,NA
2,11,unsoldVolumePositif,NA
2,12,consumptionBudget,4286465.0
2,12,consumptionValue,NA
2,12,consumptionVolume,NA
2,12,laborUsed,NA
2,12,maxPrice,NA
2,12,minPrice,NA
2,12,price,108.41335
2,12,productionValue,4827136.0
2,12,productionVolume,44525.25
2,12,productDestruction,NA
2,12,sectorSize,837.0
2,12,speed,0.049500003
2,12,unsoldVolume,NA
2,12,unsoldVolumePositif,NA
2,13,consumptionBudget,3687674.0
2,13,consumptionValue,NA
2,13,consumptionVolume,NA
2,13,laborUsed,NA
2,13,maxPrice,NA
2,13,minPrice,NA
2,13,price,108.41335
2,13,productionValue,171285.9
2,13,productionVolume,1579.9338
2,13,productDestruction,NA
2,13,sectorSize,45.0
2,13,speed,0.049500003
2,13,unsoldVolume,NA
2,13,unsoldVolumePositif,NA
2,14,consumptionBudget,2316983.8
2,14,consumptionValue,NA
2,14,consumptionVolume,NA
2,14,laborUsed,NA
2,14,maxPrice,NA
2,14,minPrice,NA
2,14,price,108.41335
2,14,productionValue,0.0
2,14,productionVolume,0.0
2,14,productDestruction,NA
2,14,sectorSize,0.0
2,14,speed,0.049500003
2,14,unsoldVolume,NA
2,14,unsoldVolumePositif,NA
2,15,consumptionBudget,3661957.8
2,15,consumptionValue,NA
2,15,consumptionVolume,NA
2,15,laborUsed,NA
2,15,maxPrice,NA
2,15,minPrice,NA
2,15,price,108.41335
2,15,productionValue,0.0
2,15,productionVolume,0.0
2,15,productDestruction,NA
2,15,sectorSize,0.0
2,15,speed,0.049500003
2,15,unsoldVolume,NA
2,15,unsoldVolumePositif,NA
2,16,consumptionBudget,3271211.0
2,16,consumptionValue,NA
2,16,consumptionVolume,NA
2,16,laborUsed,NA
2,16,maxPrice,NA
2,16,minPrice,NA
2,16,price,108.41335
